sales_representative,employee_id,region,sales,date
Sara Hassan,100456,Cairo,878.37,2026-01-23
Mona Said,100654,Aswan,540.1,2026-01-23
Nour Youssef,100321,Mansoura,664.29,2026-01-23
Nour Youssef,100321,Aswan,890.97,2026-01-24
Nour Youssef,100321,Giza,551.84,2026-01-25
Mona Said,100654,Alexandria,605.67,2026-01-25
Mona Said,100654,Aswan,653.43,2026-01-26
Nour Youssef,100321,Cairo,281.8,2026-01-26
Mona Said,100654,Giza,1021.83,2026-01-26
Omar Kamal,100789,Cairo,512.42,2026-01-26
Ahmed Ali,100123,Cairo,275.04,2026-01-28
Omar Kamal,100789,Giza,446.69,2026-01-29
Ahmed Ali,100123,Cairo,1057.82,2026-01-29
Nour Youssef,100321,Cairo,569.42,2026-01-29
Ahmed Ali,100123,Alexandria,468.65,2026-01-29
Sara Hassan,100456,Aswan,548.34,2026-01-29
Ahmed Ali,100123,Alexandria,621.41,2026-01-30
Omar Kamal,100789,Cairo,914.46,2026-01-30
Omar Kamal,100789,Mansoura,966.01,2026-01-30
Nour Youssef,100321,Giza,1015.2,2026-01-30
Ahmed Ali,100123,Cairo,1073.29,2026-01-31
Omar Kamal,100789,Mansoura,1026.28,2026-01-31
Ahmed Ali,100123,Alexandria,549.51,2026-02-01
Omar Kamal,100789,Cairo,534.36,2026-02-02
Nour Youssef,100321,Mansoura,395.12,2026-02-02
Ahmed Ali,100123,Aswan,466.36,2026-02-02
Ahmed Ali,100123,Alexandria,397.46,2026-02-03
Mona Said,100654,Giza,1044.26,2026-02-03
Omar Kamal,100789,Mansoura,1078.24,2026-02-04
Nour Youssef,100321,Mansoura,557.65,2026-02-06
Mona Said,100654,Giza,521.99,2026-02-06
Nour Youssef,100321,Mansoura,353.7,2026-02-07
Mona Said,100654,Giza,338.5,2026-02-07
Mona Said,100654,Mansoura,211.9,2026-02-07
Omar Kamal,100789,Giza,274.34,2026-02-07
Ahmed Ali,100123,Mansoura,809.15,2026-02-07
Nour Youssef,100321,Giza,368.12,2026-02-08
Ahmed Ali,100123,Aswan,448.37,2026-02-08
Sara Hassan,100456,Cairo,974.35,2026-02-08
Sara Hassan,100456,Alexandria,756.62,2026-02-08
Nour Youssef,100321,Mansoura,639.65,2026-02-08
Ahmed Ali,100123,Alexandria,1071.73,2026-02-08
Mona Said,100654,Aswan,897.99,2026-02-09
Ahmed Ali,100123,Cairo,638.22,2026-02-09
Sara Hassan,100456,Cairo,573.34,2026-02-11
Sara Hassan,100456,Cairo,196.26,2026-02-12
Omar Kamal,100789,Aswan,520.56,2026-02-12
Nour Youssef,100321,Aswan,883.99,2026-02-12
Nour Youssef,100321,Cairo,594.22,2026-02-13
Nour Youssef,100321,Mansoura,457.07,2026-02-13
Nour Youssef,100321,Giza,929.84,2026-02-13
Omar Kamal,100789,Cairo,449.63,2026-02-14
Mona Said,100654,Aswan,1009.04,2026-02-14
Ahmed Ali,100123,Giza,1148.23,2026-02-14
Mona Said,100654,Mansoura,493.53,2026-02-14
Mona Said,100654,Aswan,233.08,2026-02-15
Nour Youssef,100321,Cairo,994.92,2026-02-16
Sara Hassan,100456,Alexandria,727.41,2026-02-16
Nour Youssef,100321,Mansoura,501.65,2026-02-17
Sara Hassan,100456,Cairo,922.88,2026-02-17
Nour Youssef,100321,Mansoura,373.9,2026-02-18
Sara Hassan,100456,Cairo,497.05,2026-02-18
Omar Kamal,100789,Mansoura,837.79,2026-02-18
Omar Kamal,100789,Aswan,766.82,2026-02-18
Sara Hassan,100456,Mansoura,763.91,2026-02-19
Ahmed Ali,100123,Mansoura,1131.82,2026-02-19
Mona Said,100654,Mansoura,307.81,2026-02-20
Omar Kamal,100789,Cairo,443.39,2026-02-20
Sara Hassan,100456,Aswan,665.92,2026-02-20
Omar Kamal,100789,Mansoura,828.76,2026-02-20
Ahmed Ali,100123,Alexandria,570.18,2026-02-20
Nour Youssef,100321,Mansoura,1151.95,2026-02-21
Ahmed Ali,100123,Giza,528.19,2026-02-21
Omar Kamal,100789,Giza,656.26,2026-02-21
Ahmed Ali,100123,Alexandria,775.94,2026-02-22
Nour Youssef,100321,Alexandria,603.81,2026-02-23
Sara Hassan,100456,Mansoura,576.46,2026-02-23
Ahmed Ali,100123,Mansoura,693.6,2026-02-24
Ahmed Ali,100123,Cairo,698.1,2026-02-25
Omar Kamal,100789,Alexandria,610.45,2026-02-25
Sara Hassan,100456,Giza,269.21,2026-02-26
Sara Hassan,100456,Cairo,465.37,2026-02-26
Mona Said,100654,Cairo,643.02,2026-02-26
Sara Hassan,100456,Alexandria,499.44,2026-02-26
Mona Said,100654,Cairo,777.3,2026-02-27
Nour Youssef,100321,Aswan,935.44,2026-02-27
Mona Said,100654,Aswan,677.85,2026-02-28
Sara Hassan,100456,Alexandria,395.07,2026-02-28
Omar Kamal,100789,Alexandria,790.76,2026-03-01
Nour Youssef,100321,Giza,891.34,2026-03-01
Sara Hassan,100456,Aswan,772.57,2026-03-01
Omar Kamal,100789,Mansoura,544.63,2026-03-01
Ahmed Ali,100123,Alexandria,675.48,2026-03-02
Nour Youssef,100321,Giza,702.13,2026-03-02
Ahmed Ali,100123,Alexandria,1072.62,2026-03-03
Nour Youssef,100321,Aswan,947.19,2026-03-03
Mona Said,100654,Cairo,902.56,2026-03-03
Nour Youssef,100321,Aswan,896.83,2026-03-04
Omar Kamal,100789,Alexandria,230.75,2026-03-04
Ahmed Ali,100123,Giza,685.16,2026-03-04
Nour Youssef,100321,Mansoura,1056.85,2026-03-05
Nour Youssef,100321,Cairo,1040.02,2026-03-05
Mona Said,100654,Cairo,946.36,2026-03-05
Sara Hassan,100456,Mansoura,861.46,2026-03-06
Nour Youssef,100321,Aswan,815.94,2026-03-07
Omar Kamal,100789,Mansoura,558.44,2026-03-07
Sara Hassan,100456,Giza,819.53,2026-03-07
Sara Hassan,100456,Giza,689.05,2026-03-07
Ahmed Ali,100123,Giza,588.21,2026-03-08
Nour Youssef,100321,Giza,1036.82,2026-03-09
Mona Said,100654,Alexandria,551.74,2026-03-09
Nour Youssef,100321,Giza,845.43,2026-03-10
Sara Hassan,100456,Alexandria,379.33,2026-03-10
Sara Hassan,100456,Alexandria,769.48,2026-03-10
Nour Youssef,100321,Cairo,1037.21,2026-03-10
Sara Hassan,100456,Mansoura,938.36,2026-03-11
Omar Kamal,100789,Alexandria,1019.26,2026-03-11
Nour Youssef,100321,Cairo,573.99,2026-03-11
Omar Kamal,100789,Cairo,866.85,2026-03-12
Sara Hassan,100456,Cairo,921.44,2026-03-12
Ahmed Ali,100123,Cairo,1145.94,2026-03-13
Nour Youssef,100321,Aswan,926.9,2026-03-13
Omar Kamal,100789,Aswan,182.25,2026-03-13
Mona Said,100654,Cairo,398.83,2026-03-13
Mona Said,100654,Aswan,238.07,2026-03-13
Ahmed Ali,100123,Alexandria,318.66,2026-03-14
Ahmed Ali,100123,Aswan,294.19,2026-03-15
Omar Kamal,100789,Alexandria,181.82,2026-03-15
Sara Hassan,100456,Alexandria,946.62,2026-03-15
Omar Kamal,100789,Alexandria,1088.14,2026-03-15
Omar Kamal,100789,Alexandria,385.01,2026-03-16
Nour Youssef,100321,Aswan,1038.11,2026-03-16
Omar Kamal,100789,Alexandria,1058.98,2026-03-17
Omar Kamal,100789,Giza,1156.02,2026-03-17
Mona Said,100654,Aswan,1166.93,2026-03-17
Ahmed Ali,100123,Aswan,1094.86,2026-03-17
Sara Hassan,100456,Alexandria,719.06,2026-03-18
Omar Kamal,100789,Alexandria,1175.7,2026-03-18
Nour Youssef,100321,Giza,854.62,2026-03-20
Sara Hassan,100456,Cairo,946.39,2026-03-20
Nour Youssef,100321,Giza,315.09,2026-03-20
Mona Said,100654,Cairo,392.34,2026-03-22
Ahmed Ali,100123,Giza,1194.29,2026-03-22
Sara Hassan,100456,Giza,900.72,2026-03-22
Sara Hassan,100456,Alexandria,498.5,2026-03-23
Sara Hassan,100456,Mansoura,460.03,2026-03-23
Omar Kamal,100789,Mansoura,1076.21,2026-03-23
Nour Youssef,100321,Mansoura,1151.62,2026-03-24
Sara Hassan,100456,Aswan,182.62,2026-03-24
Mona Said,100654,Aswan,852.96,2026-03-25
Omar Kamal,100789,Giza,766.41,2026-03-25
Sara Hassan,100456,Aswan,998.31,2026-03-25
Nour Youssef,100321,Mansoura,951.16,2026-03-25
Omar Kamal,100789,Alexandria,881.71,2026-03-26
Ahmed Ali,100123,Alexandria,887.83,2026-03-26
Omar Kamal,100789,Cairo,279.98,2026-03-26
Sara Hassan,100456,Aswan,327.24,2026-03-26
Sara Hassan,100456,Alexandria,483.22,2026-03-28
Ahmed Ali,100123,Giza,588.89,2026-03-28
Mona Said,100654,Mansoura,951.73,2026-03-28
Mona Said,100654,Giza,520.07,2026-03-29
Mona Said,100654,Cairo,626.32,2026-03-31
Nour Youssef,100321,Giza,288.44,2026-03-31
Omar Kamal,100789,Aswan,772.32,2026-04-01
Ahmed Ali,100123,Alexandria,296.17,2026-04-01
Sara Hassan,100456,Giza,566.95,2026-04-01
